date,current_rate,inflation,exchange_rate,unemployment,bond_3y,us_policy_rate
2012-02,3.25,3.032893848715301,1126.5,3.3,3.43,0.1
2012-03,3.25,2.6625428629059478,1137.8,3.3,3.55,0.13
2012-04,3.25,2.55247691015954,1134.2,3.3,3.5,0.14
2012-05,3.25,2.5386325798630205,1177.8,3.2,3.38,0.16
2012-06,3.25,2.195829151332651,1153.8,3.2,3.29,0.16
2012-07,3.0,1.4761048589376546,1136.2,3.2,3.01,0.16
2012-08,3.0,1.2656134587187395,1134.6,3.2,2.83,0.13
2012-09,3.0,2.087839329066421,1118.6,3.2,2.81,0.14
2012-10,2.75,2.0907040509464014,1094.1,3.1,2.78,0.16
2012-11,2.75,1.6314312854838864,1084.7,3.2,2.8,0.16
2012-12,2.75,1.4260720298418628,1071.1,3.2,2.85,0.16
2013-01,2.75,1.6286359352052582,1082.7,3.2,2.75,0.14
2013-02,2.75,1.5831768353932851,1085.4,3.1,2.7,0.15
2013-03,2.75,1.4604754731809555,1112.1,3.0,2.6,0.14
2013-04,2.75,1.3296217455379011,1108.1,3.0,2.55,0.15
2013-05,2.5,1.1485359979949594,1128.3,3.1,2.59,0.11
2013-06,2.5,1.1687163762153618,1149.7,3.1,2.87,0.09
2013-07,2.5,1.6154081721935443,1113.6,3.2,2.91,0.09
2013-08,2.5,1.5056338794839697,1110.9,3.2,2.94,0.08
2013-09,2.5,0.980413351781384,1075.6,3.0,2.9,0.08
2013-10,2.5,0.8609579917477905,1061.4,3.1,2.83,0.09
2013-11,2.5,1.2009433654671664,1062.1,3.1,2.936,0.08
2013-12,2.5,1.1434770816382,1055.3,3.3,2.941,0.09
2014-01,2.5,1.080579760158762,1079.2,3.3,2.892,0.07
2014-02,2.5,1.0124895204110196,1067.7,3.5,2.854,0.07
2014-03,2.5,1.2920647215767467,1068.8,3.4,2.874,0.08
2014-04,2.5,1.4985510056774842,1031.7,3.6,2.875,0.09
2014-05,2.5,1.6655354815078294,1021.6,3.5,2.838,0.09
2014-06,2.5,1.6589364685578811,1014.4,3.5,2.746,0.1
2014-07,2.5,1.5897275829036994,1024.3,3.5,2.558,0.09
2014-08,2.25,1.4082241146313734,1013.6,3.5,2.54,0.09
2014-09,2.25,1.146447724766908,1050.6,3.5,2.405,0.09
2014-10,2.0,1.1499559774089008,1054.0,3.6,2.239,0.09
2014-11,2.0,0.9654624339533457,1101.1,3.6,2.138,0.09
2014-12,2.0,0.8334316575314471,1099.2,3.7,2.143,0.12
2015-01,2.0,0.9740744692200876,1090.8,3.6,2.039,0.11
2015-02,2.0,0.6458821025750128,1099.2,3.5,2.024,0.11
2015-03,1.75,0.47051076439412753,1105.0,3.5,1.865,0.11
2015-04,1.75,0.43624089838028013,1068.1,3.6,1.739,0.12
2015-05,1.75,0.5520880797719618,1108.0,3.6,1.875,0.12
2015-06,1.5,0.7013411425176086,1124.1,3.8,1.773,0.13
2015-07,1.5,0.7352785370711823,1166.3,3.8,1.777,0.13
2015-08,1.5,0.7001512411291211,1176.3,3.6,1.735,0.14
2015-09,1.5,0.5037570113239465,1194.5,3.5,1.651,0.14
2015-10,1.5,0.8078127487925135,1142.3,3.5,1.627,0.12
2015-11,1.5,0.8200819018241878,1150.4,3.6,1.752,0.12
2015-12,1.5,1.1318426483415855,1172.0,3.5,1.719,0.24
2016-01,1.5,0.6223386832623579,1208.4,3.6,1.628,0.34
2016-02,1.5,1.1132608075105521,1235.4,3.8,1.474,0.38
2016-03,1.5,0.8425303395492412,1153.5,3.7,1.498,0.36
2016-04,1.5,1.0018494055482163,1143.9,3.6,1.468,0.37
2016-05,1.5,0.7798503530403567,1190.6,3.5,1.455,0.37
2016-06,1.25,0.7396558808964393,1164.7,3.6,1.334,0.38
2016-07,1.25,0.3691628102650446,1125.7,3.6,1.218,0.39
2016-08,1.25,0.4873284110363141,1118.5,3.9,1.238,0.4
2016-09,1.25,1.3489038182086244,1096.3,3.9,1.312,0.4
2016-10,1.25,1.4879009329654913,1145.2,3.8,1.361,0.4
2016-11,1.25,1.5308167872892575,1168.5,3.7,1.609,0.41
2016-12,1.25,1.3379615020511215,1208.5,3.5,1.692,0.54
2017-01,1.25,2.2408434139784994,1157.8,3.5,1.643,0.65
2017-02,1.25,2.0828105395232166,1132.1,3.9,1.665,0.66
2017-03,1.25,2.27689662763515,1116.1,3.6,1.709,0.79
2017-04,1.25,1.9555732267481307,1130.1,3.8,1.678,0.9
2017-05,1.25,2.0035553696538866,1123.9,3.5,1.69,0.91
2017-06,1.25,1.806277520368993,1139.6,3.7,1.673,1.04
2017-07,1.25,2.167010719787066,1119.1,3.6,1.74,1.15
2017-08,1.25,2.4885813727437034,1122.8,4.0,1.78,1.16
2017-09,1.25,2.0000623396053907,1146.7,3.7,1.785,1.15
2017-10,1.25,1.76179458180723,1125.0,3.7,2.026,1.15
2017-11,1.5,1.1534025374855927,1082.4,3.7,2.15,1.16
2017-12,1.5,1.4074858317244754,1071.4,3.6,2.1,1.3
2018-01,1.5,0.7600188977671785,1071.5,3.4,2.19,1.41
2018-02,1.5,1.2526630612913703,1071.0,3.7,2.277,1.42
2018-03,1.5,1.2155998565059223,1066.5,4.0,2.271,1.51
2018-04,1.5,1.528088503930558,1076.2,3.8,2.192,1.69
2018-05,1.5,1.469050499251634,1081.3,3.8,2.25,1.7
2018-06,1.5,1.4804084735663414,1121.7,3.6,2.175,1.82
2018-07,1.5,1.118985835752162,1116.7,3.8,2.097,1.91
2018-08,1.5,1.4318056660343803,1108.8,4.6,2.019,1.91
2018-09,1.5,2.0871531597604243,1112.7,4.1,1.953,1.95
2018-10,1.5,2.002508233326883,1140.6,4.0,2.01,2.19
2018-11,1.75,2.037042743998274,1121.8,3.9,1.94,2.2
2018-12,1.75,1.320395504513927,1118.1,3.7,1.825,2.27
2019-01,1.75,0.7930197949157058,1117.2,3.9,1.807,2.4
2019-02,1.75,0.46128167518082464,1117.8,3.8,1.802,2.4
2019-03,1.75,0.3746797500784771,1137.8,3.8,1.789,2.41
2019-04,1.75,0.5559430310013935,1158.2,4.0,1.736,2.42
2019-05,1.75,0.6799422099637242,1190.0,3.8,1.679,2.39
2019-06,1.75,0.7208009799653858,1156.8,3.9,1.496,2.38
2019-07,1.5,0.6055380870270799,1182.0,4.0,1.382,2.4
2019-08,1.5,-0.037200136735648925,1215.2,3.6,1.164,2.13
2019-09,1.5,-0.42605841091188923,1201.3,3.6,1.287,2.04
2019-10,1.25,0.0,1168.4,3.5,1.357,1.83
2019-11,1.25,0.15201852411155237,1179.3,3.7,1.492,1.55
2019-12,1.25,0.73847335030508,1157.8,3.5,1.39,1.55
2020-01,1.25,1.2196108571659758,1183.5,3.4,1.373,1.55
2020-02,1.25,0.8548901934327446,1215.9,3.4,1.253,1.58
2020-03,0.75,0.8262628504555058,1222.6,3.9,1.091,0.65
2020-04,0.75,0.019099124455923544,1225.2,3.9,1.024,0.05
2020-05,0.5,-0.212740336370576,1239.4,4.3,0.878,0.05
2020-06,0.5,0.22012041290166984,1200.7,4.2,0.85,0.08
2020-07,0.5,0.44663111093188324,1191.4,4.2,0.826,0.09
2020-08,0.5,0.7694241890872533,1185.1,3.9,0.829,0.1
2020-09,0.5,0.9479527827324308,1173.5,4.2,0.908,0.09
2020-10,0.5,0.1389430333563313,1133.4,4.3,0.91,0.09
2020-11,0.5,0.6121771996662861,1104.4,4.1,0.965,0.09
2020-12,0.5,0.6127217481121994,1088.0,4.1,0.97,0.09
2021-01,0.5,0.9491457688080684,1114.6,4.6,0.975,0.09
2021-02,0.5,1.417731629392982,1108.4,4.1,0.995,0.08
2021-03,0.5,1.9011406844106515,1133.5,4.0,1.133,0.07
2021-04,0.5,2.492462311557797,1107.4,3.8,1.138,0.07
2021-05,0.5,2.62469831053902,1116.0,3.8,1.134,0.06
2021-06,0.5,2.3468057366362594,1130.0,3.7,1.302,0.08
2021-07,0.5,2.6397671384121413,1147.4,3.3,1.419,0.1
2021-08,0.75,2.555145224074251,1164.4,3.4,1.411,0.09
2021-09,0.75,2.4121500893389047,1184.9,3.1,1.515,0.08
2021-10,0.75,3.164304252345773,1171.7,3.3,1.842,0.08
2021-11,1.0,3.776601059046869,1193.4,3.1,1.953,0.08
2021-12,1.0,3.6977972690122707,1185.5,3.2,1.8,0.08
2022-01,1.25,3.7707838479809963,1202.4,3.2,2.06,0.08
2022-02,1.25,3.780271707028948,1202.7,2.9,2.285,0.08
2022-03,1.25,4.183032207384119,1210.8,2.8,2.369,0.2
2022-04,1.5,4.755834477348486,1269.4,2.8,2.941,0.33
2022-05,1.75,5.340519353258211,1245.8,2.9,3.019,0.77
2022-06,1.75,6.036256736893675,1292.9,2.9,3.477,1.21
2022-07,2.25,6.327009583414833,1304.0,3.0,3.238,1.68
2022-08,2.5,5.722627737226271,1347.5,2.8,3.247,2.33
2022-09,2.5,5.476398177764841,1434.8,2.9,3.903,2.56
2022-10,3.0,5.621673923560722,1419.3,2.9,4.235,3.08
2022-11,3.25,5.0062578222778376,1331.5,2.8,3.895,3.78
2022-12,3.25,5.017301038062283,1267.3,2.7,3.63,4.1
2023-01,3.5,4.978540772532192,1228.7,2.7,3.46,4.33
2023-02,3.5,4.6575602352494805,1317.4,2.7,3.47,4.57
2023-03,3.5,4.165881244109326,1303.8,2.7,3.461,4.65
2023-04,3.5,3.6881025929046185,1339.9,2.6,3.263,4.83
2023-05,3.5,3.3767441860464986,1322.2,2.5,3.33,5.06
2023-06,3.5,2.7261805748082457,1312.8,2.6,3.548,5.08
2023-07,3.5,2.3544559919065566,1280.0,2.9,3.638,5.12
2023-08,3.5,3.3600294577925016,1321.4,2.7,3.727,5.33
2023-09,3.5,3.703363352324951,1344.8,2.8,3.842,5.33
2023-10,3.5,3.765115426896304,1352.8,2.6,4.031,5.33
2023-11,3.5,3.3098010452003335,1289.0,2.8,3.771,5.33
2023-12,3.5,3.1759106717920593,1289.4,2.8,3.35,5.33
2024-01,3.5,2.816389570273481,1330.6,2.8,3.266,5.33
2024-02,3.5,3.1269826882987406,1334.0,2.7,3.351,5.33
2024-03,3.5,3.1035106768005916,1346.8,2.8,3.31,5.33
2024-04,3.5,2.9249796876410716,1378.7,2.8,3.439,5.33
2024-05,3.5,2.672545667236559,1376.5,2.8,3.432,5.33
2024-06,3.5,2.4109391867578323,1389.2,2.8,3.262,5.33
2024-07,3.5,2.5518914547578264,1384.6,2.7,3.083,5.33
2024-08,3.5,2.012825080156766,1335.3,2.6,2.924,5.33
2024-09,3.5,1.5950376606114425,1319.6,2.6,2.868,5.13
2024-10,3.25,1.2536417409728884,1383.3,2.8,2.911,4.83
2024-11,3.0,1.5264465743698885,1394.7,2.8,2.858,4.64
2024-12,3.0,1.9338241816730273,1470.0,3.1,2.59,4.48
2025-01,3.0,2.2444110630025493,1433.3,2.8,2.571,4.33
2025-02,2.75,2.0214448936544116,1439.6,2.8,2.611,4.33
2025-03,2.75,2.0535322509872778,1466.5,2.8,2.59,4.33
2025-04,2.75,2.0787650206122166,1438.5,2.7,2.395,4.33
2025-05,2.5,1.9018404907975572,1381.4,2.7,2.331,4.33
2025-06,2.5,2.169711876317648,1356.4,2.7,2.441,4.33
2025-07,2.5,2.0941032156313044,1382.9,2.7,2.465,4.33
2025-08,2.5,1.6675397241138423,1388.6,2.8,2.427,4.33
2025-09,2.5,2.1020497165285645,1402.2,2.7,2.464,4.22
2025-10,2.5,2.3803295840962635,1423.2,2.7,2.601,4.09
2025-11,2.5,2.447552447552437,1464.8,2.8,2.88,3.88
2025-12,2.5,2.3148551039944287,1434.9,3.3,3.01,3.72
2026-01,2.5,2.0050125313283207,1427.0,3.0,3.044,3.64
2026-02,2.5,1.9986216402481105,1424.5,2.9,3.167,3.64
2026-03,2.5,2.158397110671584,1513.4,2.7,3.378,3.64
2026-04,2.5,2.5691699604743157,1476.1,2.8,3.413,3.64
2026-05,2.5,3.1392448610991774,1505.8,2.8,3.682,3.63
2026-06,2.5,3.1639583870690435,1541.5,2.7,3.794,3.63
2026-07,2.75,2.7892207346378317,1441.1,2.8,3.828,3.63
